,index,0
0,"('joe', 'biden')",6
1,"('jan', '6')",4
2,"('student', 'debt')",4
3,"('15', 'billion')",4
4,"('54', 'billion')",2
5,"('sitting', 'top')",2
6,"('harvard', 'sitting')",2
7,"('cashless', 'harvard')",2
8,"('going', 'cashless')",2
9,"('announced', 'going')",2
10,"('starbucks', 'announced')",2
11,"('president', 'starbucks')",2
12,"('former', 'president')",2
13,"('ukraine', 'former')",2
14,"('assassinate', 'ukraine')",2
15,"('threatened', 'assassinate')",2
16,"('biden', 'threatened')",2
17,"('term', 'joe')",2
18,"('another', 'term')",2
19,"('bid', 'another')",2
20,"('announced', 'bid')",2
21,"('top', '54')",2
22,"('billion', 'hedge')",2
23,"('biden', 'formally')",2
24,"('stanford', '29')",2
25,"('congressional', 'budget')",2
26,"('nonpartisan', 'congressional')",2
27,"('the', 'nonpartisan')",2
28,"('billion', 'the')",2
29,"('26', 'billion')",2
30,"('princeton', '26')",2
31,"('billion', 'princeton')",2
32,"('29', 'billion')",2
33,"('billion', 'stanford')",2
34,"('hedge', 'fund')",2
35,"('31', 'billion')",2
36,"('yale', '31')",2
37,"('tax', 'yale')",2
38,"('zero', 'tax')",2
39,"('pay', 'zero')",2
40,"('endowment', 'pay')",2
41,"('call', 'endowment')",2
42,"('fund', 'call')",2
43,"('formally', 'announced')",2
44,"('bank', 'america')",2
45,"('office', 'say')",2
46,"('pfizerbiontech', 'covid19')",2
47,"('longer', 'recommending')",2
48,"('uk', 'longer')",2
49,"('the', 'uk')",2
50,"('ucrania', 'the')",2
51,"('invadir', 'ucrania')",2
52,"('de', 'invadir')",2
53,"('arrepiente', 'de')",2
54,"('se', 'arrepiente')",2
55,"('que', 'se')",2
56,"('anuncia', 'que')",2
57,"('putin', 'anuncia')",2
58,"('vladimir', 'putin')",2
59,"('rusia', 'vladimir')",2
60,"('de', 'rusia')",2
61,"('presidente', 'de')",2
62,"('el', 'presidente')",2
63,"('concerned', 'el')",2
64,"('recommending', 'pfizerbiontech')",2
65,"('covid19', 'mrna')",2
66,"('show', 'biden')",2
67,"('mrna', 'vaccine')",2
68,"('commission', 'show')",2
69,"('election', 'commission')",2
70,"('federal', 'election')",2
71,"('filing', 'federal')",2
72,"('obscure', 'filing')",2
73,"('an', 'obscure')",2
74,"('kid', 'an')",2
75,"('rich', 'kid')",2
76,"('bailout', 'rich')",2
77,"('plan', 'bailout')",2
78,"('forgiveness', 'plan')",2
79,"('debt', 'forgiveness')",2
80,"('s', 'student')",2
81,"('biden', 's')",2
82,"('woman', 'joe')",2
