,index,0
0,"('electric', 'vehicle', 'fluid')",3
1,"('tolkien', 'turning', 'grave')",3
2,"('elon', 'musk', 'say')",3
3,"('elon', 'musk', 's')",3
4,"('the', 'important', 'cryptocurrency')",2
5,"('begin', 'biggest', 'windfall')",2
6,"('important', 'cryptocurrency', 'event')",2
7,"('cryptocurrency', 'event', 'year')",2
8,"('event', 'year', 'begin')",2
9,"('year', 'begin', 'biggest')",2
10,"('windfall', 'go', 'planet')",2
11,"('biggest', 'windfall', 'go')",2
12,"('even', 'downturn', 'loom')",2
13,"('market', 'report', '2022')",2
14,"('united', 'state', 'electric')",2
15,"('state', 'electric', 'vehicle')",2
16,"('vehicle', 'fluid', 'market')",2
17,"('ring', 'power', 'tesla')",2
18,"('hiring', 'even', 'downturn')",2
19,"('driving', 'cockpit', 'domain')",2
20,"('feud', 'jeff', 'bezos')",2
21,"('drive', 'keep', 'musk')",2
22,"('why', 'business', 'still')",2
23,"('domain', 'control', 'unit')",2
24,"('cockpit', 'domain', 'control')",2
25,"('autonomous', 'driving', 'cockpit')",2
26,"('fluid', 'market', 'outlook')",2
27,"('china', 'autonomous', 'driving')",2
28,"('business', 'still', 'furiously')",2
29,"('still', 'furiously', 'hiring')",2
30,"('furiously', 'hiring', 'even')",2
31,"('innovation', 'ceo', 'hint')",1
32,"('ceo', 'hint', 'possible')",1
33,"('aurora', 'innovation', 'ceo')",1
34,"('car', 'aurora', 'innovation')",1
35,"('electric', 'car', 'aurora')",1
36,"('hint', 'possible', 'sale')",1
37,"('california', 'wildfire', 'blackout')",1
38,"('possible', 'sale', 'to')",1
39,"('sale', 'to', 'apple')",1
40,"('to', 'apple', 'or')",1
41,"('apple', 'or', 'microsoft')",1
42,"('or', 'microsoft', 'finding')",1
43,"('microsoft', 'finding', 'good')",1
44,"('switch', 'electric', 'car')",1
45,"('in', 'your', 'church')",1
46,"('make', 'switch', 'electric')",1
47,"('you', 'stop', 'gossip')",1
48,"('mandate', 'latest', 'frontier')",1
49,"('latest', 'frontier', 'elite')",1
50,"('frontier', 'elite', 'war')",1
51,"('elite', 'war', 'middle')",1
52,"('war', 'middle', 'class')",1
53,"('middle', 'class', '3')",1
54,"('class', '3', 'rule')",1
55,"('3', 'rule', 'that')",1
56,"('rule', 'that', 'will')",1
57,"('that', 'will', 'help')",1
58,"('will', 'help', 'you')",1
59,"('help', 'you', 'stop')",1
60,"('stop', 'gossip', 'dead')",1
61,"('want', 'make', 'switch')",1
62,"('gossip', 'dead', 'in')",1
63,"('dead', 'in', 'it')",1
64,"('in', 'it', 'track')",1
65,"('it', 'track', 'in')",1
66,"('track', 'in', 'your')",1
67,"('good', 'investment', 'via')",1
68,"('your', 'church', 'buick')",1
69,"('church', 'buick', 'offer')",1
70,"('buick', 'offer', 'buy')",1
71,"('offer', 'buy', 'dealer')",1
72,"('buy', 'dealer', 'want')",1
73,"('dealer', 'want', 'make')",1
74,"('finding', 'good', 'investment')",1
75,"('european', 'gas', 'export')",1
76,"('investment', 'via', 'tdf')",1
77,"('lot', 'homeless', 'animal')",1
78,"('deadly', 'earthquake', 'this')",1
79,"('earthquake', 'this', '2018')",1
80,"('this', '2018', 'dodge')",1
81,"('2018', 'dodge', 'challenger')",1
82,"('dodge', 'challenger', 'srt')",1
83,"('challenger', 'srt', 'demon')",1
84,"('srt', 'demon', 'is')",1
85,"('demon', 'is', 'going')",1
86,"('is', 'going', 'feed')",1
87,"('going', 'feed', 'a')",1
88,"('feed', 'a', 'lot')",1
89,"('a', 'lot', 'homeless')",1
90,"('homeless', 'animal', 'could')",1
91,"('then', 'came', 'deadly')",1
92,"('animal', 'could', 'mythical')",1
93,"('could', 'mythical', '900horsepower')",1
94,"('mythical', '900horsepower', 'lotus')",1
95,"('900horsepower', 'lotus', 'eletre')",1
96,"('lotus', 'eletre', 'caught')",1
97,"('eletre', 'caught', 'camera')",1
