,index,0
0,"('elon', 'musk')",18
1,"('electric', 'vehicle')",12
2,"('char', 'the')",8
3,"('ring', 'power')",7
4,"('the', 'ring')",6
5,"('ceo', 'elon')",6
6,"('05', '2022')",6
7,"('lord', 'ring')",6
8,"('the', 'lord')",5
9,"('char', 'elon')",5
10,"('sept', '05')",5
11,"('2022', 'globe')",5
12,"('char', 'a')",5
13,"('globe', 'newswire')",5
14,"('tesla', 'ceo')",5
15,"('musk', 's')",5
16,"('getty', 'image')",4
17,"('s', 'offering')",4
18,"('researchandmarketscom', 's')",4
19,"('the', 'u')",4
20,"('added', 'researchandmarketscom')",4
21,"('report', 'added')",4
22,"('char', 'dublin')",4
23,"('ring', 'the')",4
24,"('char', 'in')",4
25,"('series', 'the')",4
26,"('business', 'wire')",4
27,"('energyhungry', 'digital')",3
28,"('plan', 'energyhungry')",3
29,"('month', 'go')",3
30,"('digital', 'sector')",3
31,"('reduction', 'act')",3
32,"('dont', 'disingenuous')",3
33,"('go', 'plan')",3
34,"('really', 'matter')",3
35,"('however', 'month')",3
36,"('char', 'it')",3
37,"('matter', 'however')",3
38,"('via', 'getty')",3
39,"('pick', 'really')",3
40,"('hard', 'pick')",3
41,"('char', 'this')",3
42,"('often', 'hard')",3
43,"('amid', 'continuous')",3
44,"('inflation', 'reduction')",3
45,"('continuous', 'noise')",3
46,"('noise', 'cryptocurrencies')",3
47,"('dublin', 'sept')",3
48,"('tesla', 's')",3
49,"('cathie', 'wood')",3
50,"('ultracapacitors', 'market')",3
51,"('u', 'electric')",3
52,"('global', 'ultracapacitors')",3
53,"('good', 'news')",3
54,"('the', 'good')",3
55,"('newswire', 'the')",3
56,"('wire', 'the')",3
57,"('jrr', 'tolkien')",3
58,"('san', 'francisco')",2
59,"('domain', 'control')",2
60,"('firm', 'need')",2
61,"('pvt', 'ltd')",2
62,"('world', 'leading')",2
63,"('many', 'firm')",2
64,"('the', 'autonomous')",2
65,"('shortage', 'pervasive')",2
66,"('mean', 'many')",2
67,"('that', 'mean')",2
68,"('pervasive', 'that')",2
69,"('pace', 'shortage')",2
70,"('grow', 'usd')",2
71,"('kept', 'pace')",2
72,"('positive', 'affirmation')",2
73,"('cockpit', 'domain')",2
74,"('driving', 'cockpit')",2
75,"('autonomous', 'driving')",2
76,"('supply', 'kept')",2
77,"('spacex', 'ceo')",2
78,"('market', 'size')",2
79,"('i', 'report')",2
80,"('control', 'unit')",2
81,"('unit', 'dcu')",2
82,"('vehicle', 'fluid')",2
83,"('fluid', 'market')",2
84,"('market', 'industry')",2
85,"('industry', 'outlook')",2
86,"('char', 'five')",2
87,"('outlook', 'amp')",2
88,"('billion', '2021')",2
89,"('oil', 'price')",2
90,"('amp', 'forecast')",2
91,"('forecast', '20222027')",2
92,"('20222027', 'report')",2
93,"('offering', 'the')",2
94,"('should', 'company')",2
95,"('company', 'hiring')",2
96,"('volkswagens', '52bn')",2
97,"('funding', 'volkswagens')",2
98,"('key', 'funding')",2
99,"('hiring', 'firing')",2
100,"('firing', 'demand')",2
101,"('demand', 'worker')",2
102,"('worker', 'roared')",2
103,"('roared', 'back')",2
104,"('back', 'past')",2
105,"('solar', 'power')",2
106,"('char', 'should')",2
107,"('year', 'but')",2
108,"('amass', 'perhaps')",2
109,"('dcu', 'industry')",2
110,"('industry', 'report')",2
111,"('fake', 'account')",2
112,"('report', '2022')",2
113,"('2022', 'i')",2
114,"('need', 'hire')",2
115,"('editorial', 'via')",2
116,"('labour', 'supply')",2
117,"('clout', 'ball')",2
118,"('ball', 'amass')",2
119,"('perhaps', 'clout')",2
120,"('but', 'labour')",2
121,"('clout', 'actually')",2
122,"('actually', 'important')",2
123,"('important', 'money')",2
124,"('money', '1')",2
125,"('1', 'dont')",2
126,"('disingenuous', 'the')",2
127,"('the', 'first')",2
128,"('first', 'simple')",2
129,"('simple', 'thought')",2
130,"('musk', 'added')",2
131,"('char', 'during')",2
132,"('news', 'using')",2
133,"('past', 'two')",2
134,"('li', 'auto')",2
135,"('author', 'jrr')",2
136,"('tolkien', 'turning')",2
137,"('undergo', 'biggest')",2
138,"('sector', 'undergo')",2
139,"('cryptocurrencies', 's')",2
140,"('char', 'amid')",2
141,"('climate', 'change')",2
142,"('ev', 'recall')",2
143,"('dublin', 'business')",2
144,"('char', 'at')",2
145,"('stock', 'cathie')",2
146,"('wood', 'loading')",2
147,"('musk', 'said')",2
148,"('the', 'brand')",2
149,"('technology', 'the')",2
150,"('vehicle', 'market')",2
151,"('social', 'medium')",2
152,"('char', 'tesla')",2
153,"('i', 'nt')",2
154,"('char', 'with')",2
155,"('sexual', 'sin')",2
156,"('per', 'cent')",2
157,"('s', 'often')",2
158,"('industrial', 'revolution')",2
159,"('secret', 'behind')",2
160,"('battery', 'technology')",2
161,"('pioneering', 'battery')",2
162,"('lie', 'pioneering')",2
163,"('2030', 'lie')",2
164,"('year', '2030')",2
165,"('s', 'year')",2
166,"('million', 'tesla')",2
167,"('20', 'million')",2
168,"('selling', '20')",2
169,"('goal', 'selling')",2
170,"('s', 'goal')",2
171,"('behind', 'elon')",2
172,"('life', 'america')",2
173,"('two', 'year')",2
174,"('jeff', 'bezos')",2
175,"('using', 'bigger')",2
176,"('almost', 'inevitably')",2
177,"('bigger', 'cell')",2
178,"('cell', 'new')",2
179,"('the', 'secret')",2
180,"('new', 'process')",2
181,"('process', 'drycoat')",2
182,"('a', 'week')",1
183,"('char', 'many')",1
184,"('treat', 'sexual')",1
185,"('something', 'scam')",1
186,"('christian', 'treat')",1
187,"('many', 'christian')",1
188,"('ban', 'the')",1
189,"('3172', 'char')",1
190,"('the', '3172')",1
191,"('week', 'ago')",1
192,"('would', 'ban')",1
193,"('announced', 'would')",1
194,"('california', 'announced')",1
195,"('sin', 'like')",1
196,"('mandate', 'something')",1
197,"('scam', 'a')",1
198,"('ago', 'california')",1
199,"('necessary', 'investment')",1
200,"('like', 'worst')",1
201,"('worst', 'sin')",1
202,"('make', 'necessary')",1
203,"('want', 'make')",1
204,"('dont', 'want')",1
205,"('dealer', 'dont')",1
206,"('buy', 'dealer')",1
207,"('offering', 'buy')",1
208,"('buick', 'offering')",1
209,"('buick', 'buick')",1
210,"('photo', 'buick')",1
211,"('2030', 'photo')",1
212,"('sale', '2030')",1
213,"('evonly', 'sale')",1
214,"('shifting', 'evonly')",1
215,"('brand', 'shifting')",1
216,"('y', '7971')",1
217,"('back', 'y')",1
218,"('think', 'back')",1
219,"('if', 'think')",1
220,"('truth', 'if')",1
221,"('could', 'truth')",1
222,"('nothing', 'could')",1
223,"('wrong', 'nothing')",1
224,"('nothing', 'wrong')",1
225,"('though', 'nothing')",1
226,"('sin', 'though')",1
227,"('gossip', 'sexual')",1
228,"('sin', 'gossip')",1
229,"('7971', 'char')",1
230,"('aur', 'stock')",1
231,"('investment', 'upgrade')",1
232,"('price', 'cap')",1
233,"('nt', 'covered')",1
234,"('introduction', 'i')",1
235,"('pugliano', 'introduction')",1
236,"('bill', 'pugliano')",1
237,"('char', 'bill')",1
238,"('24483', 'char')",1
239,"('european', '24483')",1
240,"('maybe', 'european')",1
241,"('g7', 'maybe')",1
242,"('proposed', 'g7')",1
243,"('cap', 'proposed')",1
244,"('potential', 'oil')",1
245,"('automotive', 'producer')",1
246,"('response', 'potential')",1
247,"('perhaps', 'response')",1
248,"('pipeline', 'perhaps')",1
249,"('1', 'pipeline')",1
250,"('nordstream', '1')",1
251,"('europe', 'nordstream')",1
252,"('flow', 'europe')",1
253,"('gas', 'flow')",1
254,"('suspension', 'gas')",1
255,"('indefinite', 'suspension')",1
256,"('announced', 'indefinite')",1
257,"('covered', 'automotive')",1
258,"('producer', 'year')",1
259,"('upgrade', 'electric')",1
260,"('away', 'fro')",1
261,"('sichuan', 'province')",1
262,"('china', 'sichuan')",1
263,"('struck', 'china')",1
264,"('magnitude', 'struck')",1
265,"('68', 'magnitude')",1
266,"('measuring', '68')",1
267,"('earthquake', 'measuring')",1
268,"('an', 'earthquake')",1
269,"('char', 'an')",1
270,"('15092', 'char')",1
271,"('fro', '15092')",1
272,"('shifting', 'away')",1
273,"('year', 'one')",1
274,"('industry', 'shifting')",1
275,"('entire', 'industry')",1
276,"('bit', 'entire')",1
277,"('changed', 'bit')",1
278,"('that', 'changed')",1
279,"('industry', 'that')",1
280,"('fan', 'industry')",1
281,"('nt', 'fan')",1
282,"('reason', 'i')",1
283,"('simple', 'reason')",1
284,"('one', 'simple')",1
285,"('russia', 'announced')",1
286,"('onurdongel', 'russia')",1
287,"('char', 'onurdongel')",1
288,"('american', 'electric')",1
289,"('apple', 'aapl')",1
290,"('hinted', 'apple')",1
291,"('memo', 'hinted')",1
292,"('companyinternal', 'memo')",1
293,"('september', 'companyinternal')",1
294,"('2nd', 'september')",1
295,"('friday', '2nd')",1
296,"('25', 'friday')",1
297,"('much', '25')",1
298,"('surged', 'much')",1
299,"('stock', 'surged')",1
300,"('nasdaq', 'aur')",1
301,"('12879', 'char')",1
302,"('innovation', 'nasdaq')",1
303,"('aurora', 'innovation')",1
304,"('thesis', 'aurora')",1
305,"('gorodenkoff', 'thesis')",1
306,"('char', 'gorodenkoff')",1
307,"('2629', 'char')",1
308,"('jou', '2629')",1
309,"('street', 'jou')",1
310,"('wall', 'street')",1
311,"('the', 'wall')",1
312,"('vehicle', 'the')",1
313,"('aapl', 'microsoft')",1
314,"('microsoft', 'msft')",1
315,"('msft', 'potential')",1
316,"('potential', 'acqui')",1
317,"('b', '12879')",1
318,"('viewership', 'b')",1
319,"('american', 'viewership')",1
320,"('while', 'american')",1
321,"('france', 'while')",1
322,"('de', 'france')",1
