,Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage
0,The Gateway Pundit,"September 6, 2022",Bank of America “announced a new mortgage home loan program for first-time homebuyers. But only blacks and Hispanics will be eligible.”,Unavailable,Bank America “ announced new mortgage home loan program first-time homebuyers . But blacks Hispanics eligible . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/06/gateway-pundit/bank-americas-new-home-loan-program-does-not-exclu/,False,Unknown,Fake,False
1,National Republican Senatorial Committee,"September 6, 2022","Says Mandela Barnes ""supports stripping health care away from millions.""",Unavailable,Says Mandela Barnes `` supports stripping health care away millions . '',Unavailable,English,https://www.politifact.com//factchecks/2022/sep/06/national-republican-senatorial-committee/no-despite-claim-barnes-does-not-back-stripping-he/,False,Unknown,Fake,False
2,Charlie Crist,"September 2, 2022","Gov. Ron DeSantis raised ""taxes on the middle class by more than $1.5 billion while giving away $624 million to big corporations.""",Unavailable,Gov . Ron DeSantis raised `` taxes middle class $ 1.5 billion giving away $ 624 million big corporations . '',Unavailable,English,https://www.politifact.com//factchecks/2022/sep/02/charlie-crist/charlie-crist-misleads-ron-desantis-record-taxes/,False,Unknown,Fake,False
3,Tom Cotton,"September 2, 2022","“60% of Alaska voters voted for a Republican, but thanks to a convoluted process and ballot exhaustion — which disenfranchises voters — a Democrat ‘won.’""",Unavailable,"“ 60 % Alaska voters voted Republican , thanks convoluted process ballot exhaustion — disenfranchises voters — Democrat ‘ . ’ ''",Unavailable,English,https://www.politifact.com//factchecks/2022/sep/02/tom-cotton/how-tom-cotton-misleads-about-ranked-choice-voting/,False,Unknown,Fake,False
4,Democratic Party of Wisconsin,"September 2, 2022",Says “Tim Michels doesn’t think gay people should be out in public.”,Unavailable,Says “ Tim Michels ’ think gay people public . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/02/state-democratic-party-wisconsin/wisconsin-dems-exaggerate-claim-tim-michels-believ/,False,Unknown,Fake,False
5,CatholicVote,"September 1, 2022",Three churches were targeted during arson attacks over the summer “because they protect unborn babies and women in need.”,Unavailable,Three churches targeted arson attacks summer “ protect unborn babies women need . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/01/catholicvote/catholic-groups-ad-attacking-biden-overstates-role/,False,Unknown,Fake,False
6,Herschel Walker,"September 1, 2022","Joe Biden and Raphael Warnock ""are spending $1.5 billion on ‘urban forestry’ and raising taxes on those making under $200k to pay for it.”",Unavailable,Joe Biden Raphael Warnock `` spending $ 1.5 billion ‘ urban forestry ’ raising taxes making $ 200k pay . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/01/herschel-walker/what-herschel-walker-gets-wrong-and-right-about-fe/,False,Unknown,Real,False
7,Cheri Beasley,"September 1, 2022","“Sixty-four members of Congress — Republicans and Democrats — have broken a law to stop insider stock trading, yet Washington refuses to do anything about it.”",Unavailable,"“ Sixty-four members Congress — Republicans Democrats — broken law stop insider stock trading , yet Washington refuses anything . ”",Unavailable,English,https://www.politifact.com//factchecks/2022/sep/01/cheri-beasley/beasley-ad-half-right-about-stock-act-violations/,False,Unknown,Real,False
8,Social Media,"• September 1,","In New York, you need to show identification to buy whipped cream, but not to vote.",Unavailable,"In New York , need show identification buy whipped cream , vote .",Unavailable,English,https://www.politifact.com//factchecks/2022/sep/01/social-media/show-id-buy-whipped-cream-not-vote-new-york-s-misl/,False,Unknown,Fake,False
9,Instagram posts,"August 31, 2022","""Water-fueled car can travel from LA to NY on 22 gallons.""",Unavailable,`` Water-fueled car travel LA NY 22 gallons . '',Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/instagram-posts/claim-water-fueled-dune-buggy-defies-physics/,False,Unknown,Fake,False
