,index,0
0,"('20', 'million', 'tesla')",11
1,"('secret', 'behind', 'elon')",11
2,"('behind', 'elon', 'musk')",11
3,"('elon', 'musk', 's')",11
4,"('musk', 's', 'goal')",11
5,"('s', 'goal', 'selling')",11
6,"('goal', 'selling', '20')",11
7,"('selling', '20', 'million')",11
8,"('year', '2030', 'lie')",11
9,"('2030', 'lie', 'pioneering')",11
10,"('lie', 'pioneering', 'battery')",11
11,"('bigger', 'cell', 'new')",11
12,"('model', 'y', 'battery')",11
13,"('the', 'secret', 'behind')",11
14,"('pioneering', 'battery', 'technology')",10
15,"('s', 'year', '2030')",10
16,"('halve', 'cost', 'model')",10
17,"('cost', 'model', 'y')",10
18,"('y', 'battery', 'saving')",10
19,"('battery', 'saving', '8')",10
20,"('car', 's', 'u')",10
21,"('tesla', 'could', 'halve')",10
22,"('news', 'using', 'bigger')",10
23,"('good', 'news', 'using')",10
24,"('cell', 'new', 'process')",10
25,"('drycoat', 'electrode', 'tesla')",10
26,"('electrode', 'tesla', 'could')",10
27,"('could', 'halve', 'cost')",10
28,"('using', 'bigger', 'cell')",10
29,"('process', 'drycoat', 'electrode')",10
30,"('new', 'process', 'drycoat')",10
31,"('tesla', 's', 'year')",9
32,"('the', 'good', 'news')",9
33,"('million', 'tesla', 's')",9
34,"('battery', 'technology', 'the')",9
35,"('technology', 'the', 'good')",9
36,"('8', 'car', 's')",8
37,"('starting', 'price', 'battery')",8
38,"('u', 'starting', 'price')",8
39,"('expert', 'tie', 'company')",8
40,"('saving', '8', 'car')",8
41,"('price', 'battery', 'expert')",8
42,"('s', 'u', 'starting')",8
43,"('tie', 'company', 'said')",8
44,"('battery', 'expert', 'tie')",8
45,"('company', 'said', 'the')",7
46,"('expert', 'close', 'tesla')",6
47,"('close', 'tesla', 'familiar')",6
48,"('tesla', 'familiar', 'new')",6
49,"('the', 'bad', 'news')",6
50,"('12', 'expert', 'close')",6
51,"('according', '12', 'expert')",6
52,"('halfway', 'according', '12')",6
53,"('s', 'halfway', 'according')",6
54,"('news', 's', 'halfway')",6
55,"('bad', 'news', 's')",6
56,"('said', 'the', 'bad')",6
57,"('drycoating', 'technique', 'used')",6
58,"('familiar', 'new', 'technology')",6
59,"('cell', 'tesla', 's')",6
60,"('battery', 'new', 'unproven')",6
61,"('scaling', 'manufacturing', 'point')",6
62,"('company', 'trouble', 'scaling')",6
63,"('unproven', 'company', 'trouble')",6
64,"('manufacturing', 'point', 'big')",6
65,"('new', 'unproven', 'company')",6
66,"('point', 'big', 'cost')",6
67,"('4680', 'battery', 'new')",6
68,"('s', '4680', 'battery')",6
69,"('tesla', 's', '4680')",6
