,index,0
0,"('tesla',)",52
1,"('s',)",21
2,"('battery',)",12
3,"('musk',)",11
4,"('drive',)",10
5,"('promise',)",9
6,"('inside',)",9
7,"('keep',)",9
8,"('model',)",5
9,"('stock',)",5
10,"('say',)",5
11,"('launch',)",4
12,"('thailand',)",4
13,"('la',)",3
14,"('y',)",3
15,"('de',)",3
16,"('elon',)",3
17,"('production',)",3
18,"('coming',)",3
19,"('market',)",3
20,"('fur',)",3
21,"('the',)",3
22,"('a',)",3
23,"('could',)",3
24,"('pintar',)",2
25,"('analyst',)",2
26,"('credit',)",2
27,"('tax',)",2
28,"('doe',)",2
29,"('to',)",2
30,"('heute',)",2
31,"('microchip',)",2
32,"('lebih',)",2
33,"('new',)",2
34,"('opening',)",2
35,"('dari',)",2
36,"('job',)",2
37,"('manusia',)",2
38,"('with',)",2
39,"('uberflugeln',)",2
40,"('autobranche',)",2
41,"('gesamte',)",2
42,"('meyle',)",2
43,"('aktien',)",2
44,"('ev',)",2
45,"('otak',)",2
46,"('mit',)",2
47,"('bei',)",2
48,"('hiring',)",2
49,"('powerwall',)",2
50,"('in',)",2
51,"('3d',)",2
52,"('watch',)",2
53,"('soon',)",2
54,"('low',)",2
55,"('vehicle',)",2
56,"('delivery',)",2
57,"('da',)",2
58,"('ingenieure',)",1
59,"('according',)",1
60,"('it',)",1
61,"('from',)",1
62,"('641',)",1
63,"('soar',)",1
64,"('52week',)",1
65,"('recruitment',)",1
66,"('cathie',)",1
67,"('wood',)",1
68,"('stocksplit',)",1
69,"('bangkok',)",1
70,"('construieste',)",1
71,"('wichtig',)",1
72,"('besonders',)",1
73,"('ganz',)",1
74,"('biggest',)",1
75,"('threat',)",1
76,"('come',)",1
77,"('apple',)",1
78,"('cut',)",1
79,"('set',)",1
80,"('gute',)",1
81,"('1',)",1
82,"('listesi',)",1
83,"('hint',)",1
84,"('finally',)",1
85,"('increasing',)",1
86,"('milioane',)",1
87,"('90',)",1
88,"('depaseste',)",1
89,"('investitia',)",1
90,"('availability',)",1
91,"('x',)",1
92,"('fiyat',)",1
93,"('romania',)",1
94,"('ozellikleri',)",1
95,"('laune',)",1
96,"('buy',)",1
97,"('baterii',)",1
98,"('latest',)",1
99,"('technology',)",1
100,"('promising',)",1
101,"('zahlen',)",1
102,"('au',)",1
103,"('china',)",1
104,"('sorgen',)",1
105,"('fabrica',)",1
106,"('cost',)",1
107,"('5500',)",1
108,"('association',)",1
109,"('expert',)",1
110,"('schockiert',)",1
111,"('foto',)",1
112,"('und',)",1
113,"('3',)",1
114,"('querlenker',)",1
115,"('verbesserten',)",1
116,"('niemand',)",1
117,"('gerechnet',)",1
118,"('jetzt',)",1
119,"('lesen',)",1
120,"('signal',)",1
121,"('prasentiert',)",1
122,"('is',)",1
123,"('big',)",1
124,"('automechanikaneuheit',)",1
125,"('quietschproblem',)",1
126,"('beneficiary',)",1
127,"('inflation',)",1
128,"('reduction',)",1
129,"('losen',)",1
130,"('act',)",1
131,"('wolfe',)",1
132,"('hat',)",1
133,"('meldung',)",1
134,"('sue',)",1
135,"('dieser',)",1
136,"('louisiana',)",1
137,"('automobile',)",1
138,"('dealer',)",1
139,"('labor',)",1
140,"('board',)",1
141,"('rule',)",1
142,"('must',)",1
143,"('let',)",1
144,"('worker',)",1
145,"('anleger',)",1
146,"('ist',)",1
147,"('wear',)",1
148,"('union',)",1
149,"('news',)",1
150,"('clothing',)",1
151,"('enter',)",1
152,"('thai',)",1
153,"('zum',)",1
154,"('unglaublichen',)",1
155,"('wochenstart',)",1
156,"('sind',)",1
157,"('betroffen',)",1
158,"('ureaji',)",1
159,"('eautomodelle',)",1
160,"('16',)",1
161,"('issue',)",1
162,"('ramping',)",1
163,"('4680',)",1
164,"('cell',)",1
165,"('report',)",1
166,"('moody',)",1
167,"('nt',)",1
168,"('want',)",1
169,"('upgrade',)",1
170,"('debt',)",1
171,"('until',)",1
172,"('this',)",1
173,"('happens',)",1
174,"('diperkirakan',)",1
175,"('nouvelle',)",1
176,"('propulsion',)",1
177,"('estelle',)",1
178,"('bonne',)",1
179,"('affaire',)",1
180,"('rentree',)",1
181,"('edan',)",1
182,"('di',)",1
183,"('2023',)",1
184,"('still',)",1
185,"('but',)",1
186,"('supply',)",1
187,"('verkaufsalarm',)",1
188,"('warranty',)",1
189,"('class',)",1
190,"('action',)",1
191,"('lawsuit',)",1
192,"('over',)",1
193,"('revealed',)",1
194,"('most',)",1
195,"('googled',)",1
196,"('across',)",1
197,"('eu',)",1
198,"('sagt',)",1
199,"('bundle',)",1
200,"('der',)",1
201,"('chart',)",1
202,"('visualised',)",1
203,"('prepares',)",1
204,"('spree',)",1
205,"('and',)",1
206,"('visualized',)",1
207,"('only',)",1
208,"('available',)",1
209,"('solar',)",1
210,"('post',)",1
211,"('mean',)",1
212,"('alle',)",1
213,"('car',)",1
214,"('increase',)",1
215,"('preparation',)",1
216,"('otkriveni',)",1
217,"('novi',)",1
218,"('preowned',)",1
219,"('u',)",1
220,"('berlinu',)",1
221,"('srpska',)",1
222,"('kompanija',)",1
223,"('iskoristila',)",1
224,"('odlican',)",1
225,"('trenutak',)",1
226,"('za',)",1
227,"('promociju',)",1
228,"('semi',)",1
229,"('sighting',)",1
230,"('becoming',)",1
231,"('common',)",1
232,"('climb',)",1
233,"('30',)",1
234,"('because',)",1
235,"('groer',)",1
236,"('ruckruf',)",1
237,"('investingcom',)",1
238,"('by',)",1
239,"('kong',)",1
240,"('day',)",1
241,"('are',)",1
242,"('southeast',)",1
243,"('asian',)",1
244,"('motor',)",1
245,"('tsla',)",1
246,"('look',)",1
247,"('at',)",1
248,"('investor',)",1
249,"('await',)",1
250,"('postlabor',)",1
251,"('shift',)",1
252,"('hong',)",1
253,"('teslaaktie',)",1
254,"('kommen',)",1
255,"('die',)",1
256,"('zeiten',)",1
257,"('wieder',)",1
258,"('remove',)",1
259,"('type',)",1
260,"('2',)",1
261,"('charging',)",1
262,"('cable',)",1
263,"('euro',)",1
